trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
129,False,"{'a': 0.001, 'e': 0.8798533791446438}",20,1,-82.80955693859343,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 1}",1
130,False,"{'a': 0.001, 'e': 0.8789739655455832}",30,0,-119.96299935710357,"{0: 21, 1: 4, 2: 2, 3: 1, 4: 2}",0
131,False,"{'a': 0.001, 'e': 0.8780954309205613}",20,0,-125.47949963079519,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
132,False,"{'a': 0.001, 'e': 0.8772177743910435}",30,0,-117.68107547125055,"{0: 19, 1: 5, 2: 4, 3: 0, 4: 2}",0
133,False,"{'a': 0.001, 'e': 0.8763409950793732}",35,21,-118.42036887194863,"{0: 7, 1: 0, 2: 5, 3: 0, 4: 2}",1
134,False,"{'a': 0.001, 'e': 0.8754650921087711}",30,0,-204.30060982352225,"{0: 15, 1: 6, 2: 5, 3: 1, 4: 3}",0
135,False,"{'a': 0.001, 'e': 0.874590064603334}",25,0,-36.22957005241251,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
136,False,"{'a': 0.001, 'e': 0.8737159116880344}",20,0,-53.740677067433595,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
137,False,"{'a': 0.001, 'e': 0.8728426324887193}",20,8,-40.63067927060752,"{0: 8, 1: 3, 2: 0, 3: 0, 4: 1}",1
138,False,"{'a': 0.001, 'e': 0.8719702261321094}",30,2,-119.28200657422012,"{0: 18, 1: 4, 2: 4, 3: 0, 4: 2}",1
139,False,"{'a': 0.001, 'e': 0.8710986917457983}",20,0,-125.57784858709579,"{0: 11, 1: 5, 2: 0, 3: 2, 4: 2}",0
140,False,"{'a': 0.001, 'e': 0.8702280284582515}",20,0,-66.96296424223861,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
141,False,"{'a': 0.001, 'e': 0.8693582353988059}",20,8,-45.41439207362422,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 1}",1
142,False,"{'a': 0.001, 'e': 0.8684893116976679}",20,10,2.837034480734795,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.001, 'e': 0.867621256485914}",25,12,-9.25928039442534,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
144,False,"{'a': 0.001, 'e': 0.8667540688954889}",20,0,-65.74714063985968,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
145,False,"{'a': 0.001, 'e': 0.865887748059205}",20,2,-254.25694719800748,"{0: 7, 1: 1, 2: 4, 3: 1, 4: 5}",1
146,False,"{'a': 0.001, 'e': 0.8650222931107413}",25,0,-80.08292903053376,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
147,False,"{'a': 0.001, 'e': 0.8641577031846428}",20,0,-57.82493739492579,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
148,False,"{'a': 0.001, 'e': 0.8632939774163194}",20,13,-13.39653199908911,"{0: 4, 1: 2, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.001, 'e': 0.8624311149420455}",25,0,-103.00384512251142,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
150,False,"{'a': 0.001, 'e': 0.8615691148989583}",30,0,-93.36248200990886,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
151,False,"{'a': 0.001, 'e': 0.8607079764250578}",25,0,-173.51483657419453,"{0: 11, 1: 5, 2: 6, 3: 1, 4: 2}",0
152,False,"{'a': 0.001, 'e': 0.8598476986592055}",20,10,-123.9907169117979,"{0: 4, 1: 0, 2: 3, 3: 1, 4: 2}",1
153,False,"{'a': 0.001, 'e': 0.8589882807411234}",25,3,-163.60678018533773,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 3}",1
154,False,"{'a': 0.001, 'e': 0.8581297218113938}",25,0,-100.8453105849763,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
155,False,"{'a': 0.001, 'e': 0.8572720210114575}",20,0,-60.82626656166772,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
156,False,"{'a': 0.001, 'e': 0.8564151774836135}",20,0,-110.02841395981095,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
157,False,"{'a': 0.001, 'e': 0.8555591903710185}",20,2,-40.99797628598731,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 0}",1
158,False,"{'a': 0.001, 'e': 0.8547040588176851}",25,0,-178.05325959028534,"{0: 10, 1: 5, 2: 6, 3: 3, 4: 1}",0
159,False,"{'a': 0.001, 'e': 0.8538497819684817}",20,3,-135.09156007681386,"{0: 8, 1: 2, 2: 4, 3: 1, 4: 2}",1
160,False,"{'a': 0.001, 'e': 0.8529963589691315}",25,0,-74.53813935316381,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
161,False,"{'a': 0.001, 'e': 0.8521437889662113}",35,0,-101.80005628017678,"{0: 23, 1: 6, 2: 5, 3: 0, 4: 1}",0
162,False,"{'a': 0.001, 'e': 0.8512920711071511}",30,0,-127.99549276626188,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
163,False,"{'a': 0.001, 'e': 0.850441204540233}",30,0,-111.42660685484748,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
164,False,"{'a': 0.001, 'e': 0.8495911884145902}",25,0,-91.90093799617982,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
165,False,"{'a': 0.001, 'e': 0.8487420218802068}",20,0,-103.58369906327336,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
166,False,"{'a': 0.001, 'e': 0.8478937040879159}",30,0,-145.26207804845316,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
167,False,"{'a': 0.001, 'e': 0.8470462341893996}",25,0,-43.75089704843044,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
168,False,"{'a': 0.001, 'e': 0.8461996113371882}",20,10,-14.157288237534287,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.001, 'e': 0.8453538346846587}",20,0,-74.90846950651436,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
170,False,"{'a': 0.001, 'e': 0.8445089033860343}",20,0,-108.38880054394708,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
171,False,"{'a': 0.001, 'e': 0.8436648165963837}",30,12,-49.71679492882545,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
172,False,"{'a': 0.001, 'e': 0.8428215734716199}",30,4,-105.24154781035516,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 1}",1
173,False,"{'a': 0.001, 'e': 0.8419791731684999}",25,3,-44.37887308231982,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 1}",1
174,False,"{'a': 0.001, 'e': 0.8411376148446232}",25,0,-180.87364036233527,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
175,False,"{'a': 0.001, 'e': 0.8402968976584314}",20,0,-70.13525656445331,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
176,False,"{'a': 0.001, 'e': 0.8394570207692074}",25,0,-17.00104643380777,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
177,False,"{'a': 0.001, 'e': 0.838617983337074}",30,0,-140.55653685180968,"{0: 18, 1: 3, 2: 6, 3: 2, 4: 1}",0
178,False,"{'a': 0.001, 'e': 0.8377797845229938}",25,0,-168.3738987327457,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
179,False,"{'a': 0.001, 'e': 0.8369424234887681}",20,0,-97.69331645751762,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
180,False,"{'a': 0.001, 'e': 0.8361058993970355}",30,0,-194.80102915153282,"{0: 17, 1: 2, 2: 5, 3: 4, 4: 2}",0
181,False,"{'a': 0.001, 'e': 0.835270211411272}",25,0,-179.17992109519255,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
182,False,"{'a': 0.001, 'e': 0.8344353586957896}",20,0,-77.00273355743585,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
